day,steps
1,10419
2,10837
3,8714
4,8219
5,11454
6,5918
7,3622
8,8752
9,7908
10,10732
11,10032
12,9639
13,6815
14,6608
15,10659
16,8938
17,10927
18,8179
19,9270
20,5972
21,3677
22,9996
23,9350
24,9000
25,10333
26,9281
27,6385
28,6208
29,8985
30,11303
31,8213
32,9657
33,9294
34,4955
35,4593
36,10599
37,10295
38,9987
39,8469
40,8905
41,6121
42,4399
43,11252
44,8029
45,7931
46,9443
47,8664
48,5823
49,4788
50,9844
51,10433
52,8884
53,10851
54,8876
55,5254
56,5135
57,8366
58,8172
59,11327
60,10370
61,10587
62,3760
63,5940
64,9967
65,10066
66,7847
67,8269
68,9999
69,6648
70,3956
71,8447
72,10757
73,8878
74,10920
75,8235
76,4722
77,5579
78,8426
79,8461
80,10989
81,7802
82,2100
83,7099
84,6804
85,8037
86,10123
87,8150
88,11142
89,10915
90,4015
