day,temperature_c
1,2.7
2,-0.2
3,1.2
4,1.2
5,3.9
6,3.8
7,5.0
8,-3.8
9,-2.0
10,1.3
11,2.4
12,4.0
13,1.8
14,2.8
15,5.3
16,4.9
17,3.5
18,5.5
19,6.8
20,2.9
21,7.1
22,6.8
23,5.2
24,4.4
25,8.6
26,0.7
27,4.6
28,4.8
29,8.8
30,7.7
31,8.9
32,8.7
33,7.9
34,10.3
35,7.5
36,8.6
37,10.1
38,9.2
39,10.6
40,9.4
41,10.2
42,7.1
43,8.2
44,8.7
45,7.8
46,8.8
47,8.3
48,9.3
49,11.3
50,10.1
51,10.3
52,9.7
53,10.2
54,13.7
55,12.4
56,12.4
57,10.4
58,13.4
59,10.7
60,12.0
61,15.2
62,13.7
63,13.4
64,14.2
65,15.2
66,15.1
67,12.5
68,11.7
69,13.3
70,13.2
71,13.1
72,17.0
73,16.8
74,14.2
75,16.1
76,15.0
77,17.7
78,15.6
79,14.8
80,14.9
81,16.7
82,15.4
83,17.2
84,18.9
85,16.6
86,15.9
87,19.9
88,17.7
89,15.8
90,15.7
