roll_num,die1,die2,total
1,2,2,4
2,4,2,6
3,4,3,7
4,5,1,6
5,1,3,4
6,1,1,2
7,4,1,5
8,1,1,2
9,6,3,9
10,6,1,7
11,1,4,5
12,2,5,7
13,1,1,2
14,2,3,5
15,2,6,8
16,1,5,6
17,3,3,6
18,1,5,6
19,5,1,6
20,3,4,7
21,4,3,7
22,1,3,4
23,2,4,6
24,2,1,3
25,6,2,8
26,4,6,10
27,1,6,7
28,1,5,6
29,2,5,7
30,4,4,8
31,6,4,10
32,4,6,10
33,2,1,3
34,2,5,7
35,6,2,8
36,6,4,10
37,1,4,5
38,4,4,8
39,4,5,9
40,5,4,9
41,3,3,6
42,1,3,4
43,5,4,9
44,6,4,10
45,1,5,6
46,4,1,5
47,3,6,9
48,2,4,6
49,6,1,7
50,5,5,10
51,4,5,9
52,6,1,7
53,1,6,7
54,3,3,6
55,1,6,7
56,6,4,10
57,5,2,7
58,6,1,7
59,2,1,3
60,5,1,6
61,5,5,10
62,6,3,9
63,5,4,9
64,2,6,8
65,1,3,4
66,5,6,11
67,4,4,8
68,2,2,4
69,3,2,5
70,5,6,11
71,2,3,5
72,3,2,5
73,1,1,2
74,3,2,5
75,1,3,4
76,6,1,7
77,2,1,3
78,2,6,8
79,6,1,7
80,5,5,10
81,1,3,4
82,2,2,4
83,3,5,8
84,4,1,5
85,2,4,6
86,1,6,7
87,4,3,7
88,2,5,7
89,5,5,10
90,4,5,9
91,3,6,9
92,4,3,7
93,4,1,5
94,6,4,10
95,4,5,9
96,2,6,8
97,5,2,7
98,6,5,11
99,4,5,9
100,4,3,7
101,6,3,9
102,5,4,9
103,1,1,2
104,2,1,3
105,3,5,8
106,4,4,8
107,5,5,10
108,2,4,6
109,6,2,8
110,3,1,4
111,4,2,6
112,6,2,8
113,1,3,4
114,5,2,7
115,5,6,11
116,2,1,3
117,4,1,5
118,2,3,5
119,3,3,6
120,5,6,11
121,5,5,10
122,5,3,8
123,2,5,7
124,5,1,6
125,2,5,7
126,1,5,6
127,1,6,7
128,2,5,7
129,5,6,11
130,6,1,7
131,4,2,6
132,5,6,11
133,4,2,6
134,6,3,9
135,4,5,9
136,1,1,2
137,1,5,6
138,3,2,5
139,3,3,6
140,2,2,4
141,4,3,7
142,3,3,6
143,5,5,10
144,4,6,10
145,2,4,6
146,2,1,3
147,6,6,12
148,4,3,7
149,5,3,8
150,2,4,6
151,4,2,6
152,5,5,10
153,4,2,6
154,1,3,4
155,4,2,6
156,5,5,10
157,1,1,2
158,2,1,3
159,1,5,6
160,5,5,10
161,6,5,11
162,6,6,12
163,5,3,8
164,4,3,7
165,4,2,6
166,5,6,11
167,3,6,9
168,4,3,7
169,1,6,7
170,2,2,4
171,3,4,7
172,3,2,5
173,5,3,8
174,2,2,4
175,5,4,9
176,2,6,8
177,3,2,5
178,2,1,3
179,2,1,3
180,2,3,5
181,6,6,12
182,6,4,10
183,2,3,5
184,1,5,6
185,2,2,4
186,4,1,5
187,5,2,7
188,6,3,9
189,6,1,7
190,1,6,7
191,4,1,5
192,2,6,8
193,1,1,2
194,6,2,8
195,2,2,4
196,5,1,6
197,2,6,8
198,3,1,4
199,6,5,11
200,4,1,5
201,3,5,8
202,2,3,5
203,1,5,6
204,5,5,10
205,1,2,3
206,6,6,12
207,5,4,9
208,4,4,8
209,5,6,11
210,6,6,12
211,6,4,10
212,1,3,4
213,5,2,7
214,6,4,10
215,3,6,9
216,3,6,9
217,4,5,9
218,3,4,7
219,1,5,6
220,4,3,7
221,5,5,10
222,2,1,3
223,4,6,10
224,5,6,11
225,5,4,9
226,2,5,7
227,5,6,11
228,5,1,6
229,6,6,12
230,3,1,4
231,3,1,4
232,1,1,2
233,3,4,7
234,2,4,6
235,4,2,6
236,5,1,6
237,2,6,8
238,4,1,5
239,6,6,12
240,3,5,8
241,6,1,7
242,2,6,8
243,1,1,2
244,1,6,7
245,5,6,11
246,3,3,6
247,2,4,6
248,1,2,3
249,1,1,2
250,4,6,10
251,1,3,4
252,4,4,8
253,5,5,10
254,3,1,4
255,5,1,6
256,6,4,10
257,4,6,10
258,3,4,7
259,2,3,5
260,4,4,8
261,4,5,9
262,4,2,6
263,5,2,7
264,1,1,2
265,2,4,6
266,6,3,9
267,5,1,6
268,4,5,9
269,2,1,3
270,6,2,8
271,4,1,5
272,1,1,2
273,2,2,4
274,5,4,9
275,4,1,5
276,3,2,5
277,5,3,8
278,4,4,8
279,3,3,6
