row_idx,col_idx,temperature_c
0,0,21.8
0,1,21.9
0,2,22.4
0,3,22.4
0,4,21.4
0,5,22.4
0,6,21.6
0,7,21.4
0,8,21.8
0,9,22.4
0,10,22.6
0,11,22.4
0,12,22.3
0,13,22.5
0,14,22.9
0,15,23.4
0,16,23.1
0,17,22.4
0,18,23.1
0,19,22.3
0,20,23.0
0,21,22.5
0,22,22.1
0,23,22.3
0,24,21.6
0,25,22.4
0,26,21.6
0,27,23.2
0,28,22.1
0,29,21.3
1,0,21.7
1,1,21.8
1,2,22.1
1,3,23.3
1,4,22.1
1,5,23.4
1,6,22.0
1,7,22.6
1,8,21.5
1,9,21.5
1,10,22.3
1,11,22.6
1,12,23.1
1,13,23.6
1,14,22.6
1,15,22.9
1,16,23.6
1,17,22.8
1,18,22.9
1,19,22.6
1,20,23.2
1,21,22.8
1,22,21.6
1,23,22.1
1,24,22.7
1,25,22.8
1,26,21.8
1,27,22.0
1,28,22.3
1,29,21.2
2,0,22.6
2,1,21.3
2,2,21.0
2,3,22.2
2,4,22.6
2,5,23.3
2,6,21.9
2,7,21.5
2,8,22.8
2,9,21.7
2,10,22.3
2,11,22.9
2,12,23.7
2,13,23.2
2,14,23.5
2,15,23.8
2,16,22.4
2,17,22.6
2,18,24.0
2,19,23.9
2,20,22.2
2,21,22.4
2,22,22.6
2,23,22.7
2,24,22.4
2,25,21.6
2,26,21.4
2,27,22.0
2,28,23.0
2,29,22.5
3,0,22.3
3,1,21.3
3,2,22.3
3,3,22.0
3,4,21.6
3,5,22.5
3,6,21.8
3,7,22.4
3,8,23.3
3,9,22.9
3,10,23.0
3,11,22.9
3,12,24.0
3,13,23.1
3,14,24.6
3,15,25.2
3,16,23.9
3,17,24.6
3,18,23.6
3,19,23.8
3,20,23.2
3,21,23.0
3,22,22.7
3,23,22.8
3,24,21.8
3,25,22.1
3,26,22.2
3,27,21.9
3,28,22.5
3,29,21.7
4,0,21.3
4,1,22.2
4,2,21.4
4,3,21.4
4,4,22.7
4,5,22.1
4,6,21.2
4,7,22.7
4,8,22.5
4,9,23.2
4,10,23.7
4,11,23.7
4,12,24.8
4,13,25.6
4,14,25.5
4,15,24.4
4,16,25.1
4,17,23.6
4,18,24.8
4,19,24.4
4,20,24.8
4,21,22.8
4,22,23.4
4,23,23.1
4,24,22.6
4,25,22.3
4,26,21.8
4,27,21.7
4,28,22.4
4,29,21.7
5,0,22.8
5,1,22.1
5,2,21.7
5,3,22.6
5,4,22.0
5,5,22.5
5,6,22.7
5,7,22.8
5,8,23.3
5,9,24.2
5,10,23.6
5,11,24.7
5,12,24.8
5,13,26.5
5,14,26.5
5,15,27.1
5,16,25.6
5,17,26.5
5,18,25.2
5,19,24.0
5,20,23.6
5,21,24.3
5,22,23.1
5,23,23.0
5,24,22.1
5,25,22.5
5,26,21.9
5,27,22.0
5,28,21.9
5,29,23.2
6,0,21.9
6,1,22.2
