day,TechA,FinB,SmallC,MidD,LargeE
1,50000,120000,8000,35000,200000
2,50877,116303,8030,35161,192666
3,50735,111645,8200,36174,191282
4,50398,110372,7729,35040,195102
5,50450,109983,7793,34922,193879
6,50624,105212,7834,34515,192880
7,50876,101655,7980,34722,198125
8,50998,101873,7856,34298,197704
9,52236,102769,7606,34539,194936
10,53491,101454,7443,34179,194309
11,54130,105642,7562,34974,190139
12,52905,105164,7566,34926,191777
13,52536,103593,7622,35100,191338
14,53711,103463,7517,34485,188654
15,54577,106660,7678,34279,193692
16,54269,103574,7747,33466,190112
17,55237,106061,7910,32885,190909
18,56065,108919,7747,33318,194075
19,55305,105735,7613,33614,193597
20,56500,106922,7882,34100,196046
21,56707,103378,7884,34155,190350
22,57949,106067,7841,34398,189611
23,58226,112851,7900,35308,186801
24,58309,112776,7866,35892,182186
25,59404,115052,7842,35125,180862
26,58780,117620,7930,34909,182419
27,58879,116819,8014,34704,181630
28,58486,112279,7971,34808,178257
29,58867,111622,8041,34385,178924
30,58757,111897,7859,32870,177470
31,58451,111900,7807,32178,169938
32,57564,113601,7863,32451,170693
33,58451,112999,7902,31938,169287
34,58056,111221,8045,32893,168552
35,58855,112174,8005,32995,168659
36,58639,111355,8171,32095,168128
37,57649,111621,8171,31310,163849
38,57472,112991,8277,31680,160395
39,57279,112660,8332,31714,164851
40,58514,112471,8222,32090,164778
41,58862,112980,8427,32534,164635
42,60023,108857,8380,31959,159279
43,59456,108827,8416,30715,156519
44,60833,107713,8433,30012,159146
45,60726,107964,8095,31100,160311
46,61377,107429,8134,31407,164966
47,59661,110510,8308,30539,164842
48,59808,109109,8397,30535,165312
49,61237,107817,8157,30315,165677
50,62181,110368,8286,30122,164727
51,62829,106640,8224,29620,163564
52,61657,107349,8430,29803,158425
53,62822,109639,8329,29351,156601
54,63213,110683,8299,30116,157106
55,63528,106917,8295,30504,156793
56,63833,111646,8505,30998,157303
57,62462,112053,8443,30930,156620
58,60639,111064,8634,30171,157003
59,59649,110601,8673,30409,157217
60,60098,112199,8675,30701,155927
61,57922,109779,8931,29683,154885
62,58458,111838,8971,29667,158740
63,59687,109719,9125,30193,159580
64,59726,113586,9082,30960,158011
65,60176,114998,9120,31299,153372
66,60432,112738,9100,31574,156461
67,62106,117123,8970,30985,155663
68,63121,116335,9144,30709,152249
69,63928,116638,9378,31204,150898
70,64878,119282,9404,31759,151215
71,63641,119057,9501,31681,147845
72,63655,119956,9382,31807,145414
73,61928,117206,9531,30984,142777
74,62532,121420,9420,31371,143582
75,62587,124613,9256,31162,140514
76,60845,126975,9222,31791,134356
77,61113,127992,9168,31780,132635
78,62528,130047,9051,31250,136435
79,64805,133292,8878,30653,136837
80,65165,129112,8817,31049,135156
81,64430,126892,9088,30239,133778
82,62904,126632,9278,30713,136629
83,63566,122482,9027,30377,135366
84,61861,120273,9043,30330,135900
85,61285,121814,9187,30027,137630
86,60946,121031,9329,30559,137881
87,62008,124489,9358,30137,139853
88,61701,123840,9346,30462,145948
89,61370,122964,9290,29867,148431
90,60490,122304,9279,30407,147066
91,61634,120846,9345,29905,152414
92,60925,121015,9673,30154,154285
93,60089,120912,9820,30404,150476
94,59902,121139,9583,30444,153047
95,59498,123563,9708,30265,148355
96,59039,119335,9420,30519,151437
97,59451,122835,9558,29333,152939
98,58806,124526,9544,29559,152531
99,59570,125217,9480,29205,155687
100,58543,123541,9489,29551,157701
101,57034,121918,9559,29403,159896
102,57159,119184,9588,29701,157150
103,57494,118521,9772,29859,157868
104,57302,120589,9912,30154,161370
105,56743,116843,9789,30366,162044
106,56272,119911,9769,30489,162986
107,55696,123538,9741,30679,159568
108,55414,127105,9800,30333,161826
109,55100,128617,9814,30909,160056
110,55555,127166,10006,29954,159859
111,55821,126415,10045,28579,157415
112,54901,128747,10310,27956,153923
113,53270,132175,10141,27417,154184
114,51876,130978,10071,27277,153253
115,52522,130112,9977,27480,154494
116,52523,132128,9989,28019,159975
117,52634,133762,9894,27348,161244
118,52821,130623,9974,26971,159609
