class_id,student_id,math,english,science
1,1,100,52,78
1,2,81,83,79
1,3,76,75,77
1,4,78,66,61
1,5,84,85,74
1,6,78,58,72
1,7,64,73,81
1,8,43,68,73
1,9,59,80,88
1,10,66,66,80
1,11,63,74,72
1,12,81,68,73
1,13,57,57,97
1,14,69,64,60
1,15,74,47,64
1,16,62,53,65
1,17,81,62,58
1,18,70,87,64
1,19,76,73,78
1,20,78,70,75
1,21,47,87,92
1,22,78,68,79
1,23,81,90,67
1,24,89,63,68
1,25,84,74,76
1,26,94,63,76
1,27,72,69,71
1,28,76,52,63
1,29,94,70,80
1,30,78,56,84
1,31,57,48,35
1,32,57,66,78
1,33,87,76,77
1,34,87,63,72
1,35,62,72,76
1,36,56,51,73
1,37,62,77,84
1,38,100,71,77
1,39,75,62,69
1,40,82,69,72
2,1,92,72,73
2,2,40,56,75
2,3,57,66,51
2,4,73,66,79
2,5,83,55,89
2,6,51,95,88
2,7,67,78,60
2,8,73,66,78
2,9,74,55,68
2,10,59,63,70
2,11,61,78,46
2,12,90,80,59
2,13,66,58,57
2,14,72,59,74
2,15,79,69,50
2,16,47,68,46
2,17,59,59,73
2,18,63,72,64
2,19,72,57,64
2,20,70,57,56
2,21,67,70,53
2,22,46,53,80
2,23,86,60,74
2,24,78,63,66
2,25,79,71,79
2,26,55,68,68
2,27,71,60,75
2,28,63,71,70
2,29,92,67,70
2,30,84,68,74
2,31,71,81,73
2,32,57,63,54
2,33,76,65,53
2,34,78,65,75
2,35,79,67,54
2,36,63,63,82
2,37,75,80,58
2,38,79,75,72
2,39,84,67,64
2,40,64,74,81
3,1,57,75,74
3,2,76,87,94
3,3,74,74,82
3,4,74,69,85
3,5,78,75,76
3,6,43,80,79
3,7,79,60,87
3,8,75,61,76
3,9,71,75,87
3,10,71,49,82
3,11,80,47,82
3,12,77,62,68
3,13,83,83,74
3,14,78,77,83
3,15,100,66,87
3,16,95,76,69
3,17,67,76,68
3,18,75,92,69
3,19,86,75,83
3,20,69,77,73
3,21,81,79,73
3,22,86,85,79
3,23,86,75,73
3,24,54,84,62
3,25,84,75,80
3,26,60,72,100
3,27,79,60,83
3,28,84,70,53
3,29,95,83,77
3,30,75,78,92
3,31,82,71,88
3,32,68,74,83
3,33,77,79,80
3,34,67,72,77
3,35,77,72,73
3,36,79,72,84
3,37,88,64,77
3,38,77,78,62
3,39,74,65,79
3,40,70,79,72
