order_id,date,region,channel,category,quantity,unit_price,discount_rate,customer_grade
1,2025-02-06,W,A,FD,4,9600,0,N
2,2025-01-04,N,A,FD,3,10300,0.1,R
3,2025-05-26,C,S,BK,2,19700,0.05,V
4,2025-01-18,S,A,FD,1,7900,0.05,N
5,2025-01-27,W,W,TY,1,28500,0.05,N
6,2025-02-19,W,W,FD,1,6800,0.2,V
7,2025-05-23,S,A,GD,1,36200,0.15,N
8,2025-03-12,S,W,BK,3,12900,0.05,N
9,2025-04-02,S,S,ST,4,13100,0,V
10,2025-06-03,W,S,BK,1,14900,0,R
11,2025-05-08,C,W,ST,2,15400,0.1,R
12,2025-04-08,C,W,FD,1,9700,0.05,N
13,2025-03-06,S,S,TY,1,20600,0.1,N
14,2025-03-24,E,W,BK,1,15300,0.05,N
15,2025-02-11,C,S,TY,2,24000,0.15,R
16,2025-02-26,S,A,FD,2,8600,0.05,N
17,2025-01-23,E,A,FD,1,6600,0.05,V
18,2025-06-09,E,A,FD,1,8700,0.15,N
19,2025-05-18,C,S,TY,2,26600,0.05,V
20,2025-04-26,N,A,ST,1,12400,0,N
21,2025-01-15,C,W,BK,2,20300,0.05,R
22,2025-05-20,N,A,BK,2,16300,0,N
23,2025-06-22,S,W,BK,2,21400,0,R
24,2025-01-17,S,W,GD,1,56000,0.1,N
25,2025-03-11,W,A,FD,3,11400,0.15,N
26,2025-05-11,E,S,BK,1,15700,0,V
27,2025-01-10,N,A,TY,2,34400,0,N
28,2025-05-23,C,W,TY,2,24300,0.1,R
29,2025-02-20,E,A,ST,4,13100,0.1,N
30,2025-02-18,N,A,TY,1,17400,0,R
31,2025-03-07,C,W,TY,1,28800,0.1,R
32,2025-05-06,N,S,BK,1,18500,0,N
33,2025-06-15,N,W,BK,1,17800,0,R
34,2025-06-17,E,A,FD,1,8600,0.05,N
35,2025-02-22,C,S,ST,1,16700,0.05,R
36,2025-01-09,W,W,FD,3,7600,0.05,N
37,2025-06-15,W,A,FD,1,8900,0.1,R
38,2025-06-19,C,A,ST,2,14300,0,R
39,2025-05-27,N,W,TY,2,34600,0,N
40,2025-04-05,W,A,FD,4,8200,0.05,R
41,2025-01-23,N,W,ST,1,12200,0.2,V
42,2025-05-21,N,W,TY,1,32200,0,R
43,2025-04-21,W,S,BK,4,15000,0,R
44,2025-04-23,E,S,GD,1,48400,0.1,N
45,2025-02-18,S,W,GD,1,46000,0,R
46,2025-06-05,N,S,ST,4,14800,0.2,N
47,2025-04-27,C,W,GD,1,48400,0,N
48,2025-03-14,N,A,GD,2,44200,0.1,R
49,2025-02-04,E,A,GD,2,54900,0,V
50,2025-06-26,W,W,BK,1,13200,0,N
51,2025-02-24,C,A,TY,3,20900,0.15,N
52,2025-01-28,N,A,GD,1,46300,0.15,R
