date,store_id,sku,units,amount
2025-08-23,C03,GD02,4,184100
2025-07-25,N01,TY01,1,22900
2025-08-26,C03,TY01,1,25900
2025-09-01,S02,BK02,4,65400
2025-08-03,E04,BK01,2,32200
2025-09-23,W05,ST01,6,53500
2025-08-09,W05,BK02,1,20400
2025-08-06,N01,BK02,1,21300
2025-08-04,W05,BK01,1,13800
2025-09-19,S02,GD02,2,117400
2025-07-11,C03,ST01,1,8300
2025-08-11,S02,ST01,1,9300
2025-09-02,E04,BK02,3,62500
2025-09-24,C03,ST01,3,28600
2025-08-24,S02,ST01,3,26200
2025-09-15,W05,BK01,5,72200
2025-09-21,C03,GD02,1,59900
2025-08-04,N01,ST01,3,26700
2025-09-14,S02,TY01,1,28200
2025-08-25,E04,FD01,2,15900
2025-08-27,E04,BK01,2,29800
2025-09-03,S02,FD01,2,14200
2025-07-08,N01,TY01,6,150000
2025-09-13,N01,FD01,3,21300
2025-08-10,S02,BK01,1,14100
2025-07-09,W05,GD02,1,53200
2025-07-02,E04,FD01,2,15900
2025-07-25,N01,GD02,1,51400
2025-07-05,S02,BK01,1,17000
2025-08-19,W05,GD02,1,58100
2025-07-14,W05,BK02,1,20200
2025-07-23,C03,GD01,4,176200
2025-08-09,S02,GD02,4,247000
2025-09-19,S02,FD01,1,7400
2025-07-23,E04,TY01,2,52800
2025-09-27,W05,GD01,2,89400
2025-08-20,W05,FD01,1,5900
2025-08-09,W05,TY01,3,84100
2025-09-20,N01,TY01,1,23600
2025-08-13,C03,FD01,3,19500
2025-07-01,E04,TY01,1,27600
2025-07-11,E04,ST01,3,28000
2025-07-03,W05,GD01,1,40400
2025-07-23,C03,BK02,3,68300
2025-09-15,S02,GD01,2,72400
2025-08-23,E04,FD01,1,6600
2025-09-02,C03,TY01,5,123100
2025-09-05,E04,BK02,2,36900
2025-07-20,C03,TY01,1,22500
2025-07-13,C03,BK02,1,16300
2025-08-22,S02,GD02,2,107600
2025-09-28,C03,FD01,1,6900
2025-07-01,C03,ST01,5,37000
2025-07-11,E04,BK02,1,21900
2025-08-24,C03,TY01,3,69000
2025-07-06,C03,TY01,3,75000
2025-09-24,S02,FD01,2,12300
2025-08-24,W05,TY01,1,21900
2025-09-11,E04,BK01,2,33800
2025-07-02,S02,ST01,2,16500
2025-07-20,C03,TY01,3,61000
2025-08-08,W05,ST01,1,7900
2025-09-06,E04,TY01,6,153900
2025-08-16,S02,BK02,1,22300
2025-07-13,C03,BK01,6,94300
2025-08-09,C03,BK02,3,51000
2025-07-08,N01,TY01,1,28300
2025-09-23,N01,ST01,3,29200
2025-07-13,W05,GD02,3,191400
2025-07-05,N01,TY01,1,23800
2025-07-08,E04,TY01,1,21600
2025-07-06,E04,FD01,1,6600
2025-07-13,N01,BK02,1,16600
2025-09-03,C03,ST01,5,47600
2025-08-13,N01,ST01,2,15300
2025-08-19,C03,TY01,1,23200
2025-07-08,N01,GD01,1,37600
2025-07-04,S02,GD02,3,139600
2025-08-24,W05,BK01,1,14800
2025-09-15,C03,BK01,5,73100
2025-08-07,S02,GD01,1,49300
2025-09-08,S02,FD01,5,31600
2025-09-18,E04,TY01,2,54100
2025-09-17,W05,GD01,3,145900
2025-09-23,C03,GD01,4,168500
2025-08-25,W05,TY01,2,42600
2025-07-24,N01,TY01,1,23500
2025-09-18,N01,FD01,1,7300
2025-07-18,S02,ST01,3,22400
2025-08-28,N01,BK02,1,22500
2025-07-06,N01,ST01,1,8700
2025-09-26,C03,BK02,3,68300
2025-07-03,C03,TY01,1,28300
2025-09-01,C03,TY01,2,43900
2025-08-28,C03,ST01,2,18600
2025-09-12,E04,TY01,3,80100
2025-08-21,E04,ST01,1,7800
2025-07-01,C03,FD01,2,12700
2025-09-27,C03,ST01,1,8400
2025-07-02,C03,GD01,2,84600
2025-08-27,S02,ST01,4,31600
2025-08-05,N01,BK02,1,18800
2025-07-15,C03,TY01,3,81600
2025-08-22,C03,TY01,1,23800
2025-09-20,N01,BK01,1,16600
2025-07-23,C03,TY01,1,23700
2025-07-17,S02,TY01,3,85400
2025-07-19,S02,FD01,1,7100
2025-08-06,N01,TY01,3,63300
2025-09-16,W05,GD02,1,52900
2025-08-18,C03,BK02,2,42700
2025-08-06,C03,BK01,1,15600
2025-07-28,E04,TY01,2,42800
2025-07-23,N01,GD02,2,128300
2025-07-17,E04,ST01,2,19400
2025-09-23,S02,GD01,4,152200
2025-08-01,E04,BK01,2,32400
2025-08-23,N01,FD01,3,17300
2025-07-26,W05,BK01,2,33200
2025-09-06,W05,GD02,1,58700
2025-07-19,E04,ST01,3,22300
2025-09-11,S02,GD02,4,243400
2025-07-02,N01,BK02,2,36300
2025-08-18,C03,BK02,3,66400
2025-08-15,S02,ST01,2,14600
2025-07-08,N01,TY01,2,48800
2025-08-11,W05,GD02,2,92000
2025-08-08,W05,BK01,2,30900
2025-08-04,C03,TY01,1,27600
2025-09-12,W05,BK02,1,17100
2025-09-14,C03,GD01,2,80300
2025-08-23,W05,FD01,1,7800
2025-08-13,N01,BK02,4,74000
2025-07-03,C03,ST01,1,7600
2025-08-11,S02,BK01,1,12200
2025-09-14,E04,GD02,3,172500
2025-09-20,N01,BK02,3,64100
2025-09-18,E04,GD02,1,63500
2025-08-27,E04,GD01,2,84800
2025-08-11,S02,TY01,1,27800
2025-07-16,E04,FD01,2,13700
2025-08-21,W05,FD01,3,17600
2025-09-26,W05,TY01,4,97500
2025-09-12,E04,TY01,2,52900
2025-08-01,W05,BK01,1,14800
2025-09-09,S02,ST01,1,7700
2025-09-26,E04,ST01,2,16800
2025-07-28,C03,GD02,2,118100
2025-09-05,N01,GD01,3,114400
2025-08-11,C03,GD02,3,140400
2025-07-08,E04,BK02,1,20300
2025-09-11,W05,GD02,2,103800
2025-08-11,S02,BK01,3,38700
2025-08-02,E04,GD02,5,309200
2025-09-18,E04,GD01,3,113700
2025-07-05,S02,GD01,1,38300
2025-07-13,C03,ST01,1,9000
2025-09-01,W05,BK02,1,21800
2025-08-26,W05,GD01,2,84100
2025-08-03,E04,ST01,1,7100
2025-08-04,N01,GD02,2,115400
2025-09-12,E04,TY01,1,20400
2025-09-26,C03,TY01,1,26600
2025-08-11,C03,FD01,1,5800
2025-07-06,E04,GD01,1,45300
2025-07-25,E04,FD01,1,6800
2025-08-25,N01,BK02,1,17500
2025-08-11,W05,FD01,3,18300
2025-08-14,E04,GD01,3,130200
2025-08-07,N01,ST01,1,9400
2025-07-18,E04,FD01,1,7800
2025-09-21,S02,ST01,2,17000
2025-07-26,E04,BK01,3,40700
2025-07-20,N01,GD01,1,44800
2025-07-26,E04,BK02,3,50500
2025-08-23,C03,FD01,1,7500
2025-07-20,N01,GD01,1,42500
2025-09-11,W05,GD02,1,62000
2025-07-12,W05,BK02,2,33200
2025-07-22,W05,FD01,1,7800
2025-08-25,W05,GD02,6,305900
2025-09-11,S02,BK01,2,32200
2025-08-13,N01,ST01,4,36500
2025-09-12,E04,FD01,1,7600
2025-07-27,E04,BK02,3,56200
2025-08-02,W05,BK01,1,16800
2025-07-02,E04,BK02,1,19400
2025-08-09,C03,GD02,3,166700
2025-07-22,W05,GD02,1,62000
2025-08-03,W05,FD01,2,14300
2025-07-23,S02,GD01,1,40200
2025-07-27,C03,FD01,3,22800
2025-07-16,S02,FD01,2,14500
2025-08-14,W05,BK01,3,50800
2025-07-27,C03,BK02,4,77600
2025-07-27,S02,GD02,1,63900
2025-08-20,N01,FD01,4,24700
2025-07-27,E04,ST01,6,50500
2025-09-27,E04,TY01,5,102500
2025-09-10,C03,ST01,2,17100
2025-07-26,N01,ST01,1,8900
2025-08-15,S02,TY01,1,22300
2025-09-28,S02,BK02,4,89800
2025-09-27,N01,GD01,1,35400
2025-08-18,W05,GD02,1,59800
2025-08-27,E04,TY01,3,78700
2025-08-15,N01,FD01,3,20600
2025-09-15,S02,FD01,2,13100
2025-09-11,W05,TY01,1,27500
2025-08-10,W05,BK01,1,14600
2025-09-27,E04,BK01,2,26500
2025-08-24,C03,BK02,3,53100
2025-07-19,S02,ST01,3,24800
2025-07-13,N01,BK02,3,59400
2025-09-13,N01,BK01,2,30500
2025-07-12,N01,TY01,6,138400
2025-09-07,S02,BK02,3,60400
2025-07-25,C03,TY01,4,82100
2025-09-11,C03,BK01,1,14400
2025-09-23,S02,BK01,2,29000
