student_id,submitted_at,grade,gender,satisfaction,study_hours,screen_time,club,score
1,2025-05-20,6,F,5,2.3,0.3,math,73
2,2025-05-18,7,unknown,4,15.0,1.1,sports,100
3,2025-05-04,9,unknown,3,2.0,6.2,none,74
4,2025-05-16,9,M,5,3.7,2.7,coding,90
5,2025-05-14,9,F,2,1.6,3.3,coding,54
6,2025-05-14,7,M,2,1.5,4.6,sports,79
7,2025-05-20,6,F,2,2.4,4.7,math,65
8,2025-05-15,8,unknown,4,0.0,3.7,,75
9,2025-05-09,7,,4,1.1,1.6,coding,130
10,2025-05-16,5,,4,3.8,4.4,art,80
11,2025-05-03,6,F,5,3.0,1.6,art,75
12,2025-05-10,8,F,2,2.2,4.5,sports,66
13,2025-05-07,8,F,4,3.0,0.7,coding,81
14,2025-05-06,6,M,3,3.0,5.0,none,77
15,2025-05-01,6,F,4,0.8,2.9,,87
16,2025-05-12,6,,5,2.3,6.2,coding,78
17,2025-05-24,7,,2,1.3,4.1,coding,65
18,2025-05-08,7,M,3,1.2,2.9,none,77
19,2025-05-04,8,,5,0.5,2.1,art,74
20,2025-05-03,6,,4,1.7,,sports,76
21,2025-05-27,9,M,2,3.3,1.4,none,77
22,2025-05-17,9,F,4,3.0,1.5,none,72
23,2025-05-03,7,M,3,1.9,1.8,math,69
24,2025-05-24,7,F,3,1.6,3.2,sports,70
25,2025-05-09,5,unknown,3,1.7,1.3,none,95
26,2025-05-14,8,M,2,1.9,3.0,art,69
27,2025-05-10,8,unknown,4,2.6,0,sports,100
28,2025-05-21,6,F,4,1.8,5.4,,62
29,2025-05-01,5,F,3,0.8,,math,77
30,2025-05-17,6,M,4,1.6,3.7,math,72
31,2025-05-23,5,M,4,2.2,2.4,coding,72
32,2025-05-24,9,M,4,3.3,2.8,art,85
33,2025-05-18,8,F,2,2.1,4.7,,57
34,2025-05-26,6,F,4,2.4,3.0,art,66
35,2025-05-15,6,unknown,3,3.3,5.3,art,81
36,2025-05-13,8,,2,0.4,5.1,art,71
37,2025-05-10,7,M,3,1.6,0.8,math,82
38,2025-05-21,8,F,5,3.9,3.9,art,66
39,2025-05-07,7,M,5,3.3,4.9,sports,53
40,2025-05-15,5,,2,3.0,1.5,art,89
41,2025-05-17,7,unknown,3,1.0,4.3,sports,66
42,2025-05-03,6,F,2,2.9,4.4,sports,87
43,2025-05-16,6,unknown,4,3.0,3.6,coding,88
44,2025-05-13,6,M,3,2.4,2.6,,-5
45,2025-05-07,6,F,5,2.0,4.9,art,85
46,2025-05-09,8,unknown,3,3.1,3.1,none,68
47,2025-05-03,7,F,5,2.9,2.7,,81
48,2025-05-16,9,,2,1.7,5.7,sports,68
49,2025-05-23,9,F,2,3.6,2.8,coding,84
50,2025-05-27,9,unknown,3,3.0,3.9,art,80
51,2025-05-19,7,,4,3.2,2.9,math,76
52,2025-05-01,9,unknown,4,2.7,1.0,none,98
53,2025-05-14,9,,5,4.4,3.6,art,95
54,2025-05-21,7,unknown,4,2.6,2.3,art,71
55,2025-05-15,6,F,1,1.9,3.7,none,82
56,2025-05-18,5,F,2,0.3,2.0,art,67
57,2025-05-24,8,,2,1.7,2.3,none,83
58,2025-05-27,5,unknown,5,2.1,3.0,sports,66
