student_id,grade,class_name,math,english,science,attendance_rate,homework_rate,study_hours
S0001,2,A,86,92,97,0.83,0.63,1.2
S0002,2,B,84,87,78,0.89,0.91,3.6
S0003,2,A,90,92,79,0.92,0.64,1.6
S0004,1,D,92,71,81,0.95,0.91,4.1
S0005,1,B,71,97,86,0.82,0.77,3.7
S0006,3,A,89,65,100,1.0,0.74,3.9
S0007,3,B,86,77,81,0.9,0.68,3.4
S0008,3,A,86,90,75,1.0,0.69,1.1
S0009,2,A,91,76,98,0.9,0.79,0.6
S0010,2,D,83,82,63,0.85,0.51,3.9
S0011,2,B,100,100,86,1.0,0.93,1.0
S0012,2,A,88,79,93,0.89,0.76,1.1
S0013,1,D,94,94,83,0.99,0.72,3.2
S0014,2,B,86,99,86,0.93,1.0,3.5
S0015,2,B,100,94,83,0.82,0.88,0.7
S0016,2,B,84,62,100,0.97,0.96,4.4
S0017,2,C,87,98,67,0.74,0.77,0.9
S0018,1,A,79,82,100,0.99,0.82,4.0
S0019,2,B,100,88,92,0.93,0.8,4.4
S0020,3,B,96,100,84,0.8,0.88,3.5
S0021,2,D,100,86,95,0.86,0.89,1.3
S0022,2,B,84,95,87,0.91,0.97,2.4
S0023,3,A,99,85,92,1.0,0.79,4.2
S0024,3,D,89,80,85,0.76,0.58,0.7
S0025,1,C,88,92,88,0.87,0.8,2.1
S0026,1,D,93,73,86,0.81,0.87,2.4
S0027,1,A,78,100,86,0.81,0.68,3.8
S0028,1,A,86,72,87,0.99,0.75,2.1
S0029,1,A,74,94,79,0.78,0.7,4.4
S0030,2,B,84,90,98,0.84,0.86,2.0
S0031,1,A,87,73,84,0.79,0.45,1.0
S0032,1,A,87,67,84,0.99,0.6,1.4
S0033,3,D,83,80,80,0.83,0.72,1.8
S0034,1,D,91,90,79,0.94,0.78,2.6
S0035,1,D,77,72,89,0.91,0.75,3.6
S0036,3,D,71,75,83,0.77,0.8,1.6
S0037,3,A,86,85,88,0.85,0.87,3.0
S0038,1,A,81,86,99,0.87,0.66,1.4
S0039,2,B,77,86,89,0.69,0.84,3.2
S0040,3,B,97,98,90,0.89,0.83,3.0
S0041,2,C,96,71,75,0.87,0.69,2.9
S0042,3,C,82,73,84,0.76,0.68,2.5
S0043,3,A,90,100,100,0.96,0.83,0.6
S0044,2,A,64,85,70,0.99,0.74,1.3
S0045,2,D,99,80,93,0.97,0.94,0.8
S0046,1,B,83,83,84,0.75,0.76,2.9
S0047,2,C,77,88,93,0.97,1.0,0.7
S0048,1,B,75,77,87,0.86,0.82,0.9
S0049,3,C,79,84,91,0.89,0.67,0.7
S0050,2,C,83,82,76,0.87,0.73,1.8
S0051,1,D,78,74,89,0.82,0.67,3.4
S0052,2,D,77,95,95,0.96,0.93,3.2
S0053,3,A,88,100,87,0.74,0.76,1.8
S0054,1,B,84,100,95,1.0,1.0,0.8
S0055,1,D,80,89,85,0.94,0.63,1.2
S0056,3,C,100,76,83,0.95,0.7,2.7
S0057,2,B,85,92,89,0.94,1.0,0.7
S0058,3,A,95,94,98,0.99,1.0,2.8
S0059,3,B,89,73,89,0.89,0.9,3.6
S0060,1,A,85,81,91,0.94,0.86,3.2
S0061,2,C,88,70,89,0.91,0.78,4.0
S0062,1,D,85,88,77,0.79,0.67,1.5
S0063,3,A,77,72,91,0.84,0.77,1.3
S0064,1,B,86,69,76,0.87,0.68,1.2
S0065,3,A,89,100,81,0.83,0.79,0.9
S0066,1,D,79,74,76,0.94,0.76,1.7
S0067,1,B,99,65,87,1.0,0.65,1.5
S0068,1,A,85,71,75,0.88,0.77,1.8
S0069,1,C,96,95,89,0.92,0.87,2.7
S0070,3,A,75,90,75,0.81,0.45,2.8
S0071,3,B,70,79,92,0.88,0.54,3.2
S0072,1,A,79,72,86,0.86,0.7,3.1
S0073,1,A,97,96,95,0.93,0.69,1.0
S0074,3,B,95,70,94,0.91,0.7,1.1
S0075,1,C,82,68,80,0.84,0.62,2.2
S0076,3,C,93,78,95,1.0,0.88,0.9
S0077,3,A,97,85,94,1.0,0.88,3.9
S0078,3,B,91,94,93,0.98,0.93,2.0
S0079,2,B,80,80,84,0.78,0.82,1.9
S0080,2,B,76,92,79,0.96,0.59,2.1
S0081,3,A,79,100,95,0.83,0.81,3.8
S0082,1,B,86,85,75,0.86,0.77,2.6
S0083,3,C,86,95,87,0.98,0.92,1.1
S0084,2,B,99,84,86,0.93,0.99,1.9
S0085,3,A,88,80,85,0.84,0.66,1.7
S0086,1,D,81,83,81,0.98,0.61,3.3
S0087,2,D,98,100,97,0.9,0.72,4.5
S0088,2,C,100,100,85,0.89,0.62,3.1
S0089,1,B,75,94,100,0.94,0.69,4.5
S0090,3,C,87,99,97,0.96,0.82,0.6
S0091,1,D,87,72,71,0.97,0.59,1.7
S0092,3,A,77,82,72,0.79,0.71,1.3
S0093,2,A,80,92,88,0.83,0.89,1.7
S0094,3,D,86,89,85,0.92,0.76,1.2
S0095,1,B,75,92,82,0.87,0.79,2.2
S0096,3,C,96,71,94,0.85,0.88,1.4
S0097,2,B,76,77,75,0.71,0.66,4.3
S0098,3,B,71,97,100,0.82,0.95,3.8
S0099,3,B,95,80,82,0.67,0.74,1.2
S0100,3,A,100,80,83,0.91,0.86,1.6
S0101,3,A,88,84,100,1.0,0.72,2.3
S0102,1,C,65,72,87,0.83,0.62,0.8
S0103,2,D,75,77,88,0.87,0.56,2.0
S0104,2,D,93,83,70,0.85,0.94,0.8
S0105,3,A,85,94,71,0.77,0.96,2.6
S0106,3,A,93,74,85,0.89,0.78,4.4
S0107,2,A,84,94,88,0.81,0.57,1.6
S0108,1,D,100,92,88,0.88,0.93,1.6
S0109,2,A,100,92,83,0.9,0.7,0.8
S0110,2,D,98,100,95,0.99,1.0,3.7
S0111,1,D,74,86,96,0.76,0.68,0.7
S0112,2,B,100,82,76,0.84,0.76,3.8
S0113,1,D,72,78,99,0.95,0.75,2.5
S0114,2,D,67,79,85,0.84,0.77,0.6
S0115,3,C,90,96,98,0.99,0.78,1.3
S0116,1,C,83,81,71,0.91,0.75,3.4
S0117,2,B,95,84,100,0.86,0.76,3.5
S0118,3,A,96,81,93,0.8,0.84,1.4
S0119,1,C,69,80,64,0.87,0.49,3.5
S0120,3,A,92,83,100,0.82,0.84,1.6
S0121,1,A,77,71,83,0.9,0.76,1.8
S0122,1,C,99,79,98,0.93,0.87,2.3
S0123,3,D,95,72,76,0.9,0.81,2.6
S0124,1,B,91,100,100,1.0,0.95,2.5
S0125,2,D,84,88,82,0.93,0.82,3.3
S0126,2,B,67,74,79,0.87,0.78,4.0
S0127,1,C,100,87,95,0.98,0.62,2.8
S0128,1,A,100,91,82,0.82,0.76,4.1
S0129,2,D,93,85,80,0.9,0.71,1.9
S0130,3,D,96,88,96,0.86,0.87,3.3
S0131,1,D,94,74,82,0.89,0.94,4.3
S0132,2,C,91,100,95,0.94,0.85,3.8
S0133,1,B,100,75,95,0.95,0.68,1.4
S0134,2,B,71,89,92,0.91,0.51,0.7
S0135,3,B,78,64,96,0.98,0.75,3.6
S0136,3,A,79,80,86,1.0,0.84,1.4
S0137,2,C,77,76,66,0.82,0.71,3.0
S0138,1,B,77,100,85,0.9,0.83,1.3
S0139,2,D,88,73,73,0.83,0.74,3.1
S0140,1,C,80,94,83,1.0,0.72,2.8
S0141,3,A,88,70,82,1.0,0.64,1.0
S0142,1,A,85,87,96,0.93,0.85,3.5
S0143,1,A,98,70,85,0.9,0.79,2.3
S0144,1,B,78,77,80,0.98,0.84,4.4
S0145,3,B,93,100,88,0.96,0.57,1.5
S0146,3,C,100,84,92,0.97,0.75,0.5
S0147,1,B,96,92,60,1.0,0.97,2.7
S0148,3,A,88,82,88,0.81,0.74,1.9
S0149,3,C,94,65,90,0.76,0.5,4.0
S0150,2,A,73,79,99,0.73,0.83,0.5
S0151,1,B,100,80,82,0.73,0.73,0.5
S0152,2,A,93,81,83,0.88,0.59,2.1
