date,store_region,category,channel,units,revenue
2025-04-17,E,book,app,7,124635
2025-02-15,C,toy,store,2,59338
2025-04-23,N,book,store,3,41238
2025-05-24,W,toy,web,9,207252
2025-06-23,E,stationery,store,8,55083
2025-03-12,C,food,app,8,80633
2025-06-27,S,stationery,web,6,47250
2025-03-24,C,stationery,app,9,62062
2025-04-25,W,food,store,5,38829
2025-01-24,W,toy,app,8,206095
2025-03-11,C,toy,app,4,119559
2025-01-26,S,book,app,9,189519
2025-02-18,E,food,store,5,51067
2025-01-10,E,toy,store,9,261913
2025-06-14,W,food,store,1,8199
2025-01-23,N,stationery,web,7,37424
2025-05-06,C,stationery,app,1,5559
2025-04-28,E,food,web,7,64730
2025-02-26,N,toy,app,1,27793
2025-05-24,W,toy,web,8,163984
2025-04-19,N,book,store,8,164055
2025-04-27,C,stationery,app,9,61463
2025-06-28,E,gadget,app,3,147549
2025-02-27,C,gadget,store,9,395041
2025-06-02,E,gadget,web,6,352079
2025-05-23,W,stationery,web,6,31719
2025-04-10,N,food,web,2,14102
2025-04-14,N,gadget,web,1,47338
2025-04-23,S,stationery,store,1,6817
2025-05-14,S,gadget,web,6,284366
2025-03-23,W,stationery,app,1,6377
2025-03-07,W,stationery,web,8,63938
2025-04-05,C,food,store,3,25808
2025-02-19,C,book,web,1,20359
2025-01-05,C,gadget,web,1,44486
2025-01-26,S,food,app,6,55808
2025-01-21,E,gadget,store,5,229487
2025-06-16,W,toy,app,4,110631
2025-01-14,S,gadget,web,4,224522
2025-05-16,W,toy,store,1,25910
2025-01-22,S,gadget,store,5,297462
2025-02-21,W,stationery,store,8,62573
2025-01-09,S,gadget,web,6,277790
2025-01-09,C,toy,app,6,136211
2025-05-01,W,toy,store,5,137545
2025-03-14,N,gadget,app,4,218583
2025-01-10,N,stationery,store,5,39186
2025-04-22,C,book,app,2,38040
2025-05-26,N,book,web,7,138765
2025-02-27,S,gadget,web,4,204568
2025-06-18,E,stationery,store,4,24358
2025-04-08,W,stationery,store,1,6564
2025-03-22,W,stationery,app,2,15190
2025-04-27,S,gadget,app,8,382666
2025-05-05,W,stationery,app,3,23225
2025-04-08,C,stationery,store,3,19480
2025-04-25,E,stationery,web,4,30734
2025-06-26,W,book,web,1,14836
2025-04-09,W,toy,store,9,184267
2025-01-15,E,book,web,9,183462
2025-04-25,C,gadget,app,6,265047
2025-03-04,S,book,app,6,91675
2025-02-16,S,food,store,1,8373
2025-01-16,E,book,app,9,188064
