date,user_id,user_grade,action,minutes
2025-05-02,U0220,new,cart,17
2025-05-05,U0157,regular,review,40
2025-03-06,U0230,vip,view,28
2025-06-22,U0197,regular,cart,19
2025-04-22,U0157,vip,review,42
2025-04-22,U0004,new,purchase,9
2025-04-10,U0163,vip,cart,13
2025-02-28,U0212,vip,view,9
2025-05-06,U0105,new,purchase,44
2025-05-06,U0244,vip,purchase,11
2025-01-01,U0007,new,cart,44
2025-03-28,U0062,regular,cart,24
2025-02-09,U0186,new,view,17
2025-01-27,U0233,regular,review,43
2025-03-16,U0104,regular,purchase,18
2025-05-24,U0036,regular,view,12
2025-01-01,U0237,new,view,42
2025-05-28,U0119,regular,view,14
2025-03-20,U0066,regular,view,20
2025-04-21,U0054,vip,cart,42
2025-03-13,U0237,regular,review,17
2025-05-10,U0050,vip,view,14
2025-04-16,U0121,vip,cart,23
2025-02-23,U0083,new,review,6
2025-06-16,U0078,new,view,45
2025-01-01,U0162,regular,view,21
2025-03-23,U0097,vip,cart,14
2025-01-07,U0096,regular,purchase,21
2025-06-02,U0072,regular,view,17
2025-06-03,U0041,new,cart,5
2025-04-22,U0208,new,view,24
2025-01-25,U0173,new,purchase,40
2025-06-28,U0021,new,cart,19
2025-04-01,U0070,regular,cart,35
2025-06-23,U0259,regular,review,23
2025-01-16,U0183,regular,review,13
2025-03-11,U0111,vip,purchase,37
2025-02-23,U0241,new,view,28
2025-06-08,U0086,new,cart,27
2025-02-05,U0139,new,view,8
2025-01-24,U0071,vip,cart,39
2025-03-08,U0233,new,review,39
2025-02-25,U0012,new,review,33
2025-01-18,U0172,regular,review,40
2025-02-19,U0072,vip,review,37
2025-06-28,U0095,vip,review,20
2025-01-18,U0211,vip,view,19
2025-03-15,U0119,new,purchase,23
2025-01-07,U0214,regular,purchase,32
2025-06-05,U0130,vip,view,7
2025-06-24,U0091,new,view,45
2025-04-23,U0197,vip,view,12
2025-02-26,U0062,regular,purchase,45
2025-02-27,U0252,new,review,43
2025-05-28,U0243,regular,view,42
2025-05-08,U0087,vip,purchase,41
2025-06-01,U0231,regular,view,6
2025-05-14,U0028,vip,review,10
2025-06-27,U0249,vip,purchase,28
2025-05-10,U0185,regular,view,15
2025-05-19,U0012,new,review,12
2025-01-17,U0197,new,cart,1
2025-05-16,U0238,vip,purchase,21
2025-02-20,U0208,regular,review,38
2025-01-20,U0193,new,view,2
2025-03-28,U0093,vip,cart,43
2025-02-23,U0166,new,cart,9
2025-03-27,U0240,new,purchase,30
2025-01-22,U0186,vip,review,42
2025-02-14,U0108,regular,view,11
2025-04-09,U0220,vip,purchase,27
2025-06-14,U0212,new,review,4
2025-04-09,U0042,new,review,20
2025-06-14,U0144,regular,purchase,2
2025-06-22,U0179,vip,purchase,44
2025-06-28,U0210,vip,review,30
2025-01-27,U0092,regular,purchase,37
2025-01-25,U0190,vip,cart,6
2025-01-10,U0124,new,review,19
2025-05-18,U0116,new,purchase,5
2025-02-20,U0072,vip,purchase,29
2025-06-04,U0147,vip,view,33
2025-03-02,U0127,new,view,15
2025-04-28,U0217,new,view,19
2025-05-12,U0098,regular,view,26
2025-02-14,U0031,new,review,44
2025-03-07,U0108,new,review,5
2025-01-25,U0218,regular,purchase,8
2025-01-28,U0032,vip,view,14
2025-05-26,U0245,new,cart,15
2025-04-12,U0019,vip,purchase,38
2025-04-15,U0176,vip,review,21
