date,channel,category,orders,revenue,ad_spend,conversion_rate
2025-01-01,web,book,97,1884521,384565,0.0252
2025-01-01,app,toy,92,2573327,336762,0.0273
2025-01-01,store,book,57,1758772,116943,0.0487
2025-01-02,web,book,104,2406641,305910,0.034
2025-01-02,app,food,67,2179467,267533,0.025
2025-01-02,store,toy,65,1620651,114289,0.0569
2025-01-03,web,food,71,1138007,289810,0.0245
2025-01-03,app,toy,81,3043578,226698,0.0357
2025-01-03,store,food,5,123417,68923,0.0073
2025-01-04,web,toy,74,1700167,250144,0.0296
2025-01-04,app,toy,70,2076195,251567,0.0278
2025-01-04,store,book,19,433742,87175,0.0218
2025-01-05,web,toy,83,1919711,296331,0.028
2025-01-05,app,book,89,3034091,287282,0.031
2025-01-05,store,food,30,746380,124443,0.0241
2025-01-06,web,gadget,105,3068398,290268,0.0362
2025-01-06,app,book,64,2608855,340436,0.0188
2025-01-06,store,gadget,32,787541,105200,0.0304
2025-01-07,web,gadget,82,2651097,296464,0.0277
2025-01-07,app,toy,78,2200205,221891,0.0352
2025-01-07,store,food,45,1046079,20000,0.225
2025-01-08,web,book,62,1234128,231731,0.0268
2025-01-08,app,toy,61,2071601,128166,0.0476
2025-01-08,store,gadget,27,651262,57185,0.0472
2025-01-09,web,food,62,1970189,248523,0.0249
2025-01-09,app,gadget,65,1723257,144292,0.045
2025-01-09,store,gadget,32,843506,106689,0.03
2025-01-10,web,food,78,2488203,241129,0.0323
2025-01-10,app,toy,67,2617100,299764,0.0224
2025-01-10,store,gadget,61,1385048,89419,0.0682
2025-01-11,web,food,85,1645367,206928,0.0411
2025-01-11,app,food,102,2577090,280920,0.0363
2025-01-11,store,toy,33,928856,55772,0.0592
2025-01-12,web,gadget,91,2529897,204237,0.0446
2025-01-12,app,toy,90,3418400,243643,0.0369
2025-01-12,store,toy,41,992936,146573,0.028
2025-01-13,web,food,62,1917028,242735,0.0255
2025-01-13,app,toy,102,3426440,199348,0.0512
2025-01-13,store,food,34,575454,111282,0.0306
2025-01-14,web,food,80,1344298,305508,0.0262
2025-01-14,app,food,94,2512208,268307,0.035
2025-01-14,store,toy,38,1279510,125753,0.0302
2025-01-15,web,book,74,2760421,296140,0.025
2025-01-15,app,book,91,2575870,223419,0.0407
2025-01-15,store,food,34,532483,20000,0.17
2025-01-16,web,book,79,2130559,292596,0.027
2025-01-16,app,food,67,2190502,280747,0.0239
2025-01-16,store,book,50,1363479,129759,0.0385
2025-01-17,web,gadget,58,1318550,192929,0.0301
2025-01-17,app,gadget,45,1150289,233182,0.0193
2025-01-17,store,gadget,47,1780835,147533,0.0319
2025-01-18,web,toy,83,2415730,224425,0.037
2025-01-18,app,toy,87,2402970,336569,0.0258
2025-01-18,store,food,25,664552,20000,0.125
2025-01-19,web,gadget,101,2774425,290501,0.0348
2025-01-19,app,book,99,2039486,263245,0.0376
2025-01-19,store,food,37,1031630,189327,0.0195
2025-01-20,web,toy,80,1862829,301678,0.0265
2025-01-20,app,book,44,1547630,254813,0.0173
2025-01-20,store,gadget,40,1037079,151179,0.0265
2025-01-21,web,gadget,48,1598058,257794,0.0186
2025-01-21,app,book,57,1956808,234498,0.0243
2025-01-21,store,toy,18,397557,49582,0.0363
2025-01-22,web,book,107,1949033,342154,0.0313
2025-01-22,app,food,71,2112437,108075,0.0657
2025-01-22,store,food,72,1611643,114816,0.0627
2025-01-23,web,gadget,47,1419481,222132,0.0212
2025-01-23,app,book,62,1930146,261144,0.0237
2025-01-23,store,gadget,42,1130844,80146,0.0524
2025-01-24,web,food,63,1547450,201608,0.0312
2025-01-24,app,food,80,2294812,187134,0.0428
2025-01-24,store,book,33,906177,129381,0.0255
2025-01-25,web,toy,81,2187001,298485,0.0271
2025-01-25,app,book,45,1506764,287180,0.0157
2025-01-25,store,gadget,44,1159784,95655,0.046
2025-01-26,web,toy,87,2063624,341076,0.0255
2025-01-26,app,book,86,3449547,149685,0.0575
2025-01-26,store,food,38,1112630,107410,0.0354
2025-01-27,web,book,83,2862732,284093,0.0292
2025-01-27,app,toy,75,2193127,258013,0.0291
2025-01-27,store,food,46,1110808,192429,0.0239
2025-01-28,web,book,51,1202726,319563,0.016
2025-01-28,app,food,79,2260678,237678,0.0332
2025-01-28,store,gadget,53,962009,93054,0.057
2025-01-01,web,food,101,3072188,264533,0.0382
2025-01-01,app,gadget,77,3350122,202618,0.038
2025-01-01,store,food,58,1591869,69510,0.0834
2025-01-02,web,book,74,1454260,251504,0.0294
2025-01-02,app,food,66,1824997,224449,0.0294
2025-01-02,store,food,25,602511,98446,0.0254
2025-02-03,web,book,87,2407093,188286,0.0462
2025-02-03,app,gadget,58,1613211,241370,0.024
2025-02-03,store,toy,60,1775513,90653,0.0662
2025-02-04,web,book,63,2072511,216328,0.0291
2025-02-04,app,gadget,85,2041150,157986,0.0538
2025-02-04,store,book,45,1090900,20000,0.225
2025-02-05,web,book,93,1870911,198520,0.0468
2025-02-05,app,book,130,4715975,297924,0.0436
2025-02-05,store,toy,23,550211,68809,0.0334
2025-02-06,web,book,90,2722854,295343,0.0305
2025-02-06,app,book,86,2140043,241788,0.0356
2025-02-06,store,gadget,44,1136010,132900,0.0331
2025-02-07,web,food,72,1656053,190102,0.0379
2025-02-07,app,book,62,1449732,271982,0.0228
2025-02-07,store,gadget,15,205958,50125,0.0299
2025-02-08,web,toy,93,2215004,235044,0.0396
2025-02-08,app,food,111,3091608,339597,0.0327
2025-02-08,store,food,62,1398894,117970,0.0526
2025-02-09,web,gadget,87,2445046,204692,0.0425
2025-02-09,app,book,52,1796118,324364,0.016
2025-02-09,store,toy,61,1873632,53208,0.1146
2025-02-10,web,toy,64,1549493,241476,0.0265
2025-02-10,app,gadget,100,3180061,257781,0.0388
2025-02-10,store,toy,50,1194139,137722,0.0363
2025-02-11,web,toy,59,1316280,223063,0.0264
2025-02-11,app,book,88,2167110,272446,0.0323
2025-02-11,store,book,49,1171821,20000,0.245
2025-02-12,web,book,105,3336419,187659,0.056
2025-02-12,app,toy,67,1354460,263852,0.0254
2025-02-12,store,book,53,1409030,77176,0.0687
2025-02-13,web,book,61,1327920,173853,0.0351
2025-02-13,app,book,92,3186665,274734,0.0335
2025-02-13,store,gadget,64,1865675,161574,0.0396
2025-02-14,web,food,70,1979732,293444,0.0239
2025-02-14,app,toy,73,1975492,277481,0.0263
2025-02-14,store,book,44,1038598,180289,0.0244
2025-02-15,web,toy,93,1763149,257303,0.0361
2025-02-15,app,toy,62,1680001,218188,0.0284
2025-02-15,store,food,59,1491726,173459,0.034
2025-02-16,web,food,61,1369194,245572,0.0248
2025-02-16,app,book,48,1412861,240332,0.02
2025-02-16,store,book,72,2233319,20000,0.36
2025-02-17,web,food,68,2093311,161156,0.0422
2025-02-17,app,gadget,116,3057857,213534,0.0543
2025-02-17,store,gadget,59,1561562,81360,0.0725
2025-02-18,web,toy,34,563505,348405,0.0098
2025-02-18,app,food,78,2489736,308796,0.0253
2025-02-18,store,gadget,65,1285965,72540,0.0896
2025-02-19,web,food,79,2037852,205569,0.0384
2025-02-19,app,food,91,2387604,268963,0.0338
2025-02-19,store,book,55,1441132,34973,0.1573
2025-02-20,web,gadget,74,2224498,265081,0.0279
2025-02-20,app,gadget,95,3579579,274158,0.0347
2025-02-20,store,book,54,1409443,56613,0.0954
2025-02-21,web,gadget,85,3089661,210235,0.0404
2025-02-21,app,toy,85,2563738,262030,0.0324
2025-02-21,store,gadget,11,255797,114198,0.0096
2025-02-22,web,food,84,2678596,296206,0.0284
2025-02-22,app,book,78,2112254,266544,0.0293
2025-02-22,store,book,67,2294333,127844,0.0524
2025-02-23,web,food,105,3573703,227716,0.0461
2025-02-23,app,food,104,2925736,232932,0.0446
2025-02-23,store,book,33,832166,41096,0.0803
2025-02-24,web,toy,101,3440293,236011,0.0428
2025-02-24,app,gadget,71,2314847,193462,0.0367
2025-02-24,store,food,65,1243571,168794,0.0385
2025-02-25,web,toy,76,1958264,231740,0.0328
2025-02-25,app,book,86,2792838,311262,0.0276
2025-02-25,store,book,34,831332,77353,0.044
2025-02-26,web,gadget,88,2274790,312854,0.0281
2025-02-26,app,book,85,2809424,195568,0.0435
2025-02-26,store,gadget,36,890002,119789,0.0301
2025-02-27,web,gadget,71,1694444,193482,0.0367
2025-02-27,app,gadget,77,3324421,150243,0.0513
2025-02-27,store,toy,42,869488,20783,0.2021
2025-02-28,web,gadget,59,1386761,235445,0.0251
2025-02-28,app,book,78,2621322,327730,0.0238
2025-02-28,store,food,27,716953,117081,0.0231
2025-02-01,web,food,87,2591311,288119,0.0302
2025-02-01,app,toy,105,2969246,320953,0.0327
2025-02-01,store,book,19,447418,152553,0.0125
2025-02-02,web,food,64,1963593,152140,0.0421
2025-02-02,app,gadget,90,2411335,249538,0.0361
2025-02-02,store,gadget,72,1272959,183100,0.0393
2025-02-03,web,gadget,74,1427022,233310,0.0317
2025-02-03,app,toy,74,2029856,300736,0.0246
2025-02-03,store,gadget,18,529771,105168,0.0171
2025-02-04,web,food,66,1523648,248812,0.0265
2025-02-04,app,food,75,2216900,322958,0.0232
2025-02-04,store,food,38,1056054,42333,0.0898
2025-03-05,web,book,79,1766645,267849,0.0295
2025-03-05,app,gadget,91,2864263,240853,0.0378
2025-03-05,store,toy,76,1895531,57624,0.1319
2025-03-06,web,toy,84,2060268,241710,0.0348
2025-03-06,app,book,83,2638725,205427,0.0404
2025-03-06,store,gadget,35,765486,49331,0.0709
2025-03-07,web,book,79,1819717,374983,0.0211
2025-03-07,app,food,84,2661603,194890,0.0431
2025-03-07,store,food,70,1844607,89727,0.078
2025-03-08,web,food,79,2062845,241359,0.0327
2025-03-08,app,food,40,1210858,242970,0.0165
2025-03-08,store,gadget,62,1983396,100547,0.0617
2025-03-09,web,book,90,2018365,312643,0.0288
2025-03-09,app,toy,36,902556,191215,0.0188
2025-03-09,store,book,46,1015470,111160,0.0414
2025-03-10,web,book,71,2098308,231434,0.0307
2025-03-10,app,food,72,2220512,272577,0.0264
2025-03-10,store,food,77,1899855,42596,0.1808
2025-03-11,web,book,88,2996793,232453,0.0379
2025-03-11,app,book,49,1250070,349034,0.014
2025-03-11,store,food,48,1624530,68610,0.07
2025-03-12,web,food,46,1055866,270845,0.017
2025-03-12,app,gadget,66,2332751,310398,0.0213
2025-03-12,store,toy,34,1298640,46197,0.0736
2025-03-13,web,food,82,2072892,160904,0.051
2025-03-13,app,book,93,2861085,287468,0.0324
2025-03-13,store,food,52,1806170,142400,0.0365
2025-03-14,web,book,79,1916051,253155,0.0312
2025-03-14,app,toy,93,2781410,254246,0.0366
2025-03-14,store,toy,62,1243314,126285,0.0491
2025-03-15,web,toy,90,2023502,216664,0.0415
2025-03-15,app,book,117,3161475,290527,0.0403
2025-03-15,store,toy,62,1838608,105007,0.059
2025-03-16,web,toy,86,1872815,302091,0.0285
2025-03-16,app,food,105,3251057,237499,0.0442
2025-03-16,store,gadget,20,474446,98725,0.0203
2025-03-17,web,toy,78,1793752,288180,0.0271
2025-03-17,app,gadget,61,2346522,214095,0.0285
2025-03-17,store,food,61,1939356,20954,0.2911
2025-03-18,web,toy,76,1889903,260919,0.0291
2025-03-18,app,book,63,2140226,220962,0.0285
2025-03-18,store,toy,43,1060872,90753,0.0474
2025-03-19,web,gadget,86,2049661,282734,0.0304
2025-03-19,app,toy,99,1948045,256648,0.0386
2025-03-19,store,food,71,1446201,121554,0.0584
2025-03-20,web,food,67,1708390,281578,0.0238
2025-03-20,app,toy,84,2194882,286552,0.0293
2025-03-20,store,gadget,56,1049582,105822,0.0529
2025-03-21,web,gadget,81,1930066,159812,0.0507
2025-03-21,app,food,65,1980480,269281,0.0241
2025-03-21,store,book,58,1356531,26802,0.2164
2025-03-22,web,book,56,1483410,223186,0.0251
2025-03-22,app,book,78,2943191,257044,0.0303
2025-03-22,store,food,7,156939,61254,0.0114
2025-03-23,web,food,106,2348389,267591,0.0396
2025-03-23,app,food,86,1721933,342977,0.0251
2025-03-23,store,toy,55,1480722,115691,0.0475
2025-03-24,web,food,74,1734873,221748,0.0334
2025-03-24,app,gadget,81,2317838,220603,0.0367
2025-03-24,store,book,53,1179091,20000,0.265
2025-03-25,web,gadget,106,1929998,195746,0.0542
2025-03-25,app,book,78,2885708,206764,0.0377
2025-03-25,store,gadget,69,1694509,72403,0.0953
2025-03-26,web,book,70,1927780,252768,0.0277
2025-03-26,app,book,97,2722460,234247,0.0414
2025-03-26,store,food,49,1196792,59391,0.0825
2025-03-27,web,book,48,1286853,287445,0.0167
2025-03-27,app,toy,89,2813247,221906,0.0401
2025-03-27,store,toy,23,495750,20000,0.115
2025-03-28,web,gadget,119,2625683,239232,0.0497
2025-03-28,app,book,69,2198702,277407,0.0249
2025-03-28,store,gadget,52,1299480,142986,0.0364
2025-03-01,web,book,109,2652566,231731,0.047
2025-03-01,app,toy,62,1507271,190504,0.0325
2025-03-01,store,food,15,473434,167548,0.009
2025-03-02,web,food,84,2514140,248061,0.0339
2025-03-02,app,gadget,72,2190299,321209,0.0224
2025-03-02,store,gadget,70,2537879,92795,0.0754
2025-03-03,web,food,58,1546646,235494,0.0246
2025-03-03,app,food,49,1597650,268777,0.0182
2025-03-03,store,gadget,41,843549,121654,0.0337
2025-03-04,web,gadget,88,2336445,293148,0.03
2025-03-04,app,book,102,2894410,256732,0.0397
2025-03-04,store,gadget,43,1093883,158340,0.0272
2025-03-05,web,food,66,1720233,289123,0.0228
2025-03-05,app,book,59,1993628,270337,0.0218
2025-03-05,store,gadget,56,749473,59975,0.0934
2025-03-06,web,food,110,4011897,234406,0.0469
2025-03-06,app,toy,76,2445962,317260,0.024
2025-03-06,store,book,28,1034835,176337,0.0159
2025-04-07,web,toy,79,1822692,310006,0.0255
2025-04-07,app,gadget,95,3809297,282818,0.0336
2025-04-07,store,food,55,1526112,55360,0.0993
2025-04-08,web,book,97,2270544,275144,0.0353
2025-04-08,app,toy,75,2165086,231372,0.0324
2025-04-08,store,book,48,630820,20000,0.24
2025-04-09,web,book,71,1798551,221720,0.032
2025-04-09,app,food,82,2328402,289575,0.0283
2025-04-09,store,food,38,943819,127532,0.0298
2025-04-10,web,toy,81,2009683,187286,0.0432
2025-04-10,app,toy,68,2577190,283322,0.024
2025-04-10,store,food,9,121715,65400,0.0138
2025-04-11,web,food,68,1456127,204994,0.0332
2025-04-11,app,toy,86,3136102,379846,0.0226
2025-04-11,store,gadget,51,996981,64839,0.0787
2025-04-12,web,book,94,2315064,220262,0.0427
2025-04-12,app,toy,54,1574875,258517,0.0209
2025-04-12,store,toy,57,1543810,20662,0.2759
2025-04-13,web,toy,73,1951820,294734,0.0248
2025-04-13,app,toy,106,3914850,231950,0.0457
2025-04-13,store,toy,5,138733,73697,0.0068
2025-04-14,web,food,70,1670969,218878,0.032
2025-04-14,app,book,81,2982012,188995,0.0429
2025-04-14,store,food,55,1466716,44965,0.1223
2025-04-15,web,gadget,25,646899,122634,0.0204
2025-04-15,app,book,71,2517404,210350,0.0338
2025-04-15,store,food,40,1108775,79925,0.05
2025-04-16,web,book,91,1726604,157316,0.0578
2025-04-16,app,toy,58,1368108,254262,0.0228
2025-04-16,store,toy,40,1228696,20000,0.2
2025-04-17,web,book,77,1710034,254349,0.0303
2025-04-17,app,toy,72,2518137,316858,0.0227
2025-04-17,store,gadget,46,1078642,161485,0.0285
2025-04-18,web,food,92,2401766,260613,0.0353
2025-04-18,app,gadget,91,2547347,203868,0.0446
2025-04-18,store,toy,17,442869,137854,0.0123
2025-04-19,web,gadget,70,1360188,211639,0.0331
2025-04-19,app,toy,103,2617662,178415,0.0577
2025-04-19,store,gadget,43,1160615,181497,0.0237
2025-04-20,web,food,85,2178028,294793,0.0288
2025-04-20,app,food,78,2302503,317537,0.0246
2025-04-20,store,gadget,24,758262,101549,0.0236
2025-04-21,web,book,72,2007280,288760,0.0249
2025-04-21,app,gadget,78,1877102,229283,0.034
2025-04-21,store,gadget,15,426072,50476,0.0297
2025-04-22,web,gadget,122,1810500,232058,0.0526
2025-04-22,app,food,89,2371894,294324,0.0302
2025-04-22,store,toy,35,1051569,32199,0.1087
2025-04-23,web,toy,63,1519424,226008,0.0279
2025-04-23,app,toy,83,2421945,302697,0.0274
2025-04-23,store,toy,38,610168,127628,0.0298
2025-04-24,web,gadget,65,1963608,332138,0.0196
2025-04-24,app,gadget,93,2793343,293203,0.0317
2025-04-24,store,toy,58,1507475,120804,0.048
2025-04-25,web,book,76,1561624,233244,0.0326
2025-04-25,app,gadget,86,2472106,267394,0.0322
2025-04-25,store,food,16,428576,20000,0.08
2025-04-26,web,book,84,2675193,142961,0.0588
2025-04-26,app,food,67,2110563,184380,0.0363
2025-04-26,store,gadget,51,1411154,108419,0.047
2025-04-27,web,toy,65,1892828,339373,0.0192
2025-04-27,app,food,66,2020121,261039,0.0253
2025-04-27,store,toy,50,817088,134374,0.0372
2025-04-28,web,gadget,103,1942122,301806,0.0341
2025-04-28,app,gadget,81,2046115,240289,0.0337
2025-04-28,store,food,41,1327955,41299,0.0993
2025-04-01,web,food,77,2417449,272287,0.0283
2025-04-01,app,toy,95,3310989,304534,0.0312
2025-04-01,store,food,58,1107703,74028,0.0783
2025-04-02,web,food,103,3117332,248948,0.0414
2025-04-02,app,gadget,85,2417666,342243,0.0248
2025-04-02,store,book,62,1584518,96459,0.0643
2025-04-03,web,food,94,2573585,266545,0.0353
2025-04-03,app,toy,80,2624641,240271,0.0333
2025-04-03,store,gadget,5,151610,44201,0.0113
2025-04-04,web,toy,59,1817869,254347,0.0232
2025-04-04,app,gadget,66,2079697,187153,0.0353
2025-04-04,store,book,51,1496213,143599,0.0355
2025-04-05,web,food,80,2284811,235678,0.0339
2025-04-05,app,toy,93,1826998,229363,0.0405
2025-04-05,store,food,41,1037871,140831,0.0291
2025-04-06,web,gadget,74,1565299,288995,0.0256
2025-04-06,app,food,74,2007685,168042,0.044
2025-04-06,store,food,48,418527,164343,0.0292
2025-04-07,web,toy,63,1515155,197604,0.0319
2025-04-07,app,food,61,2403965,282490,0.0216
2025-04-07,store,book,45,1082443,61140,0.0736
2025-04-08,web,gadget,69,1578793,216215,0.0319
2025-04-08,app,food,75,2972096,259954,0.0289
2025-04-08,store,toy,46,1213256,119594,0.0385
2025-05-09,web,book,91,2009823,198319,0.0459
2025-05-09,app,gadget,64,1808167,228480,0.028
2025-05-09,store,gadget,64,2198846,51698,0.1238
2025-05-10,web,gadget,112,2879819,300395,0.0373
2025-05-10,app,gadget,64,2043769,343431,0.0186
2025-05-10,store,toy,51,1035619,59342,0.0859
2025-05-11,web,food,99,1871546,191804,0.0516
2025-05-11,app,toy,80,2212762,245847,0.0325
2025-05-11,store,toy,51,1422136,20000,0.255
2025-05-12,web,gadget,100,2036000,219818,0.0455
2025-05-12,app,toy,70,2455316,260245,0.0269
2025-05-12,store,book,44,731162,181805,0.0242
2025-05-13,web,gadget,79,2352444,235839,0.0335
2025-05-13,app,food,99,2532433,227213,0.0436
2025-05-13,store,food,37,925163,51073,0.0724
2025-05-14,web,gadget,68,1558574,277901,0.0245
2025-05-14,app,book,69,1618959,225652,0.0306
2025-05-14,store,book,37,883412,55697,0.0664
2025-05-15,web,gadget,74,501909,207816,0.0356
2025-05-15,app,gadget,72,2833644,209885,0.0343
2025-05-15,store,food,40,674349,70739,0.0565
2025-05-16,web,gadget,54,1757579,148851,0.0363
2025-05-16,app,gadget,90,2403407,148978,0.0604
2025-05-16,store,gadget,55,1538208,124015,0.0443
2025-05-17,web,toy,51,1205767,251518,0.0203
2025-05-17,app,food,77,2507092,332643,0.0231
2025-05-17,store,food,37,1144507,155392,0.0238
2025-05-18,web,book,71,1566193,305216,0.0233
2025-05-18,app,book,71,1872778,224765,0.0316
2025-05-18,store,food,25,743046,91204,0.0274
2025-05-19,web,book,88,2530921,194168,0.0453
2025-05-19,app,toy,53,1228943,164493,0.0322
2025-05-19,store,book,18,396041,20000,0.09
2025-05-20,web,food,100,2183007,253558,0.0394
2025-05-20,app,book,80,2963439,366022,0.0219
2025-05-20,store,food,54,1355677,20302,0.266
2025-05-21,web,food,105,2238142,210694,0.0498
2025-05-21,app,book,103,4016180,272467,0.0378
2025-05-21,store,book,16,258170,125233,0.0128
2025-05-22,web,toy,106,2280586,252942,0.0419
2025-05-22,app,toy,67,2420494,240534,0.0279
2025-05-22,store,book,84,2293437,95900,0.0876
2025-05-23,web,food,59,1221296,260799,0.0226
2025-05-23,app,food,66,2033481,196742,0.0335
2025-05-23,store,food,59,1239032,127639,0.0462
2025-05-24,web,food,97,2033642,236149,0.0411
2025-05-24,app,toy,88,2575904,212525,0.0414
2025-05-24,store,gadget,44,1115260,24519,0.1795
2025-05-25,web,book,56,1811644,225203,0.0249
