date,visitors,orders,revenue,temperature_c,ad_spend
2025-01-01,1024,60,1854406,-5.6,155856
2025-01-02,1106,58,1903009,-1.6,208585
2025-01-03,1071,75,2356212,-2.7,176864
2025-01-04,913,41,1026287,-4.4,183106
2025-01-05,817,44,1316340,-0.1,239915
2025-01-06,1081,70,2103539,-1.2,152980
2025-01-07,920,72,1928929,-3.8,155307
2025-01-08,1049,75,1788022,-6.2,172181
2025-01-09,1100,72,1948664,-4.6,142555
2025-01-10,900,44,1274779,-3.2,155129
2025-01-11,657,45,1131547,-6.9,154378
2025-01-12,894,48,1324730,-3.1,193342
2025-01-13,1085,53,1268616,-1.3,214383
2025-01-14,1137,90,2169606,-3.7,143128
2025-01-15,1263,89,2503140,0.0,207113
2025-01-16,1032,66,1545591,0.5,201916
2025-01-17,1110,58,1619063,-1.9,183743
2025-01-18,672,31,873595,-1.1,165055
2025-01-19,935,48,1391078,1.2,224418
2025-01-20,1165,65,1922006,-3.7,133369
2025-01-21,1060,63,1627218,0.5,206174
2025-01-22,984,59,1456487,0.9,142585
2025-01-23,1201,79,1848676,1.8,227376
2025-01-24,1036,57,1293606,-1.1,165100
2025-01-25,768,58,1461166,-0.6,151981
2025-01-26,725,42,1168562,2.3,140648
2025-01-27,1125,87,1647688,-1.5,111932
2025-01-28,1160,64,1890361,-2.1,183744
2025-01-29,1141,51,1493675,-3.1,173168
2025-01-30,841,51,1515249,2.9,221159
2025-01-31,892,41,1220037,-3.5,213455
2025-02-01,650,36,868001,1.6,136872
2025-02-02,963,53,1285276,-4.0,200764
2025-02-03,1195,62,1461266,-2.7,265634
2025-02-04,930,74,1789440,4.3,180612
2025-02-05,1037,53,1884384,-4.0,225007
2025-02-06,960,58,1376670,0.7,184085
2025-02-07,1198,91,2552907,3.3,141994
2025-02-08,1011,58,1416402,2.9,173467
2025-02-09,828,42,1293482,0.5,208839
2025-02-10,1175,85,2064781,0.7,142320
2025-02-11,1245,56,1670696,1.0,131235
2025-02-12,991,60,1304568,3.9,137125
2025-02-13,1352,89,2929919,1.6,194722
2025-02-14,934,44,1279708,-3.2,237338
2025-02-15,876,56,1297875,1.5,181863
2025-02-16,865,46,1292465,-1.3,214079
2025-02-17,1358,94,2333476,1.3,227202
2025-02-18,1075,52,1049092,9.8,160365
2025-02-19,943,59,1917476,1.8,186361
2025-02-20,1045,71,2116859,5.3,175367
2025-02-21,1113,66,1731347,2.4,165350
2025-02-22,870,55,1675808,1.0,141478
2025-02-23,825,51,1213593,3.3,170655
2025-02-24,978,59,1793042,4.1,179649
2025-02-25,1205,86,2321184,2.7,205755
2025-02-26,1060,75,2385967,4.5,290922
2025-02-27,1259,81,1950047,3.4,151701
2025-02-28,1210,58,1551610,7.6,199303
2025-03-01,951,69,1678767,2.3,149634
2025-03-02,928,56,1416534,6.2,161221
2025-03-03,1139,89,2012583,4.8,208528
2025-03-04,980,75,1786221,7.7,180499
2025-03-05,1218,64,1413349,4.6,181255
2025-03-06,1114,87,2059032,10.7,181135
2025-03-07,1364,80,2263972,1.6,145554
2025-03-08,704,34,959648,6.0,250456
2025-03-09,1016,56,1567872,4.2,204105
2025-03-10,1091,83,2214112,4.3,245505
2025-03-11,1124,56,1490041,10.8,185943
2025-03-12,1374,80,2273425,7.8,168941
2025-03-13,1122,85,2613158,9.3,194996
2025-03-14,1258,77,2519682,6.4,217330
2025-03-15,734,49,1404691,9.4,147176
2025-03-16,791,51,1474285,10.7,184788
2025-03-17,1031,71,1507152,6.6,206710
2025-03-18,1148,72,1698140,7.4,181665
2025-03-19,1104,83,2880557,9.5,213034
2025-03-20,1168,80,2552385,5.3,101365
2025-03-21,1104,59,1512796,9.0,172727
2025-03-22,1034,72,1750889,10.5,180595
2025-03-23,981,56,1704072,9.5,159626
2025-03-24,1293,99,3167113,9.4,168110
2025-03-25,1237,87,2647970,13.9,202205
2025-03-26,1174,60,1270829,8.1,188988
2025-03-27,1137,74,2666455,8.1,194793
