program_id,district,program_type,target_group,start_date,participants,budget,completion_rate,satisfaction
P0001,south,math,elementary,2025-02-03,25,2077389,0.65,3.6
P0002,south,science,high,2025-12-05,25,1747654,0.72,4.8
P0003,central,math,elementary,2025-12-18,47,3709490,0.77,3.7
P0004,west,science,middle,2025-06-06,39,2812687,0.86,3.0
P0005,west,math,elementary,2025-03-06,38,2060620,0.85,4.0
P0006,east,math,middle,2025-07-12,32,1404605,0.75,3.8
P0007,west,art,middle,2025-11-10,33,2301692,0.77,3.5
P0008,east,math,elementary,2025-12-15,24,866274,0.73,3.7
P0009,central,math,elementary,2025-11-03,29,1113445,0.93,3.8
P0010,north,coding,middle,2025-10-21,23,1578143,0.67,4.8
P0011,west,coding,middle,2025-09-02,37,2410044,0.81,4.0
P0012,west,art,middle,2025-12-15,25,1273133,0.79,4.1
P0013,east,math,middle,2025-08-26,13,689717,0.76,3.3
P0014,west,reading,elementary,2025-06-03,18,1390838,0.83,3.5
P0015,central,reading,elementary,2025-12-01,9,520873,0.94,3.9
P0016,south,science,elementary,2025-06-12,22,1053442,0.61,3.2
P0017,north,reading,middle,2025-02-25,28,2006838,0.7,3.3
P0018,east,art,high,2025-01-05,23,1376619,0.7,3.6
P0019,central,science,high,2025-05-10,32,2156283,0.81,3.3
P0020,west,coding,elementary,2025-06-05,33,1501870,0.71,4.3
P0021,central,art,high,2025-12-28,26,1110030,0.79,3.7
P0022,north,reading,middle,2025-05-08,33,1506787,0.76,4.6
P0023,north,art,middle,2025-08-02,18,955650,0.73,4.2
P0024,south,coding,middle,2025-12-14,28,1122210,0.83,4.2
P0025,south,math,high,2025-08-28,33,2353256,0.99,4.4
P0026,east,math,elementary,2025-02-25,31,1442048,0.84,3.7
P0027,north,reading,middle,2025-04-03,14,1145948,0.86,4.3
P0028,east,coding,high,2025-06-16,41,2884420,0.56,4.2
P0029,east,coding,middle,2025-09-01,22,1540928,0.88,3.5
P0030,west,reading,middle,2025-12-24,14,908533,0.61,3.7
P0031,west,math,middle,2025-06-01,24,1484967,0.7,3.6
P0032,north,art,high,2025-01-09,19,777231,0.53,3.1
P0033,west,science,elementary,2025-08-23,30,1830314,0.86,3.9
P0034,central,art,middle,2025-02-01,16,843895,0.99,3.3
P0035,south,art,high,2025-06-06,12,812597,0.87,4.4
P0036,east,math,elementary,2025-04-04,18,1465902,0.75,3.9
P0037,west,science,middle,2025-07-04,23,1030182,0.82,3.5
P0038,east,art,high,2025-10-20,30,2289163,0.96,3.6
P0039,south,science,high,2025-08-09,33,2367310,0.82,4.5
P0040,east,reading,high,2025-01-24,23,1079629,0.84,4.7
P0041,north,art,middle,2025-09-23,23,1762768,0.58,4.2
P0042,south,math,high,2025-02-25,31,2612268,0.61,3.1
P0043,east,science,high,2025-10-02,23,1636359,0.8,4.9
P0044,north,science,middle,2025-05-27,37,1906337,0.78,3.2
P0045,north,art,elementary,2025-06-22,20,1216405,0.97,3.6
P0046,east,coding,high,2025-03-18,23,1671336,0.75,3.7
P0047,west,science,high,2025-11-13,20,1024012,0.63,2.5
P0048,north,art,high,2025-06-07,26,1161462,0.77,2.8
P0049,west,math,elementary,2025-12-17,38,3191372,0.81,3.4
P0050,north,math,high,2025-01-05,11,515055,0.84,3.7
P0051,west,science,middle,2025-06-15,25,1952459,0.93,4.3
P0052,east,science,middle,2025-02-17,21,1306423,0.91,3.7
P0053,west,art,middle,2025-04-19,35,1898647,0.72,3.8
P0054,east,science,high,2025-02-07,34,2566456,0.92,4.0
P0055,central,art,elementary,2025-03-11,27,2263200,0.64,3.6
P0056,north,coding,high,2025-06-26,31,1249863,0.91,4.1
P0057,central,math,middle,2025-03-01,20,1501804,0.83,3.9
P0058,north,science,high,2025-01-08,29,1547060,0.7,4.0
P0059,central,reading,middle,2025-10-03,20,1334964,0.73,4.1
P0060,south,coding,high,2025-05-17,29,1151157,0.83,3.4
P0061,east,reading,elementary,2025-07-16,39,3257879,0.71,4.1
P0062,north,science,high,2025-07-13,28,1536230,0.66,4.1
P0063,east,coding,high,2025-02-05,36,1620563,0.75,4.4
P0064,west,coding,middle,2025-10-20,37,2467283,0.85,4.3
P0065,south,science,high,2025-03-07,31,2476681,0.73,4.4
P0066,west,coding,middle,2025-01-12,35,2451800,0.98,3.9
P0067,west,art,middle,2025-05-18,12,599386,0.55,4.1
P0068,north,math,elementary,2025-01-28,16,1319256,0.68,3.7
P0069,west,math,high,2025-01-18,34,2393712,0.75,3.9
P0070,north,science,middle,2025-10-15,25,887925,0.69,3.8
P0071,west,coding,elementary,2025-05-10,42,2071163,0.65,4.8
P0072,central,art,high,2025-09-06,29,1864289,0.87,3.8
P0073,north,art,middle,2025-02-14,25,2025651,0.8,4.1
P0074,central,art,elementary,2025-10-19,28,1390474,0.86,4.2
P0075,south,art,elementary,2025-08-12,27,987261,0.71,4.2
P0076,east,math,high,2025-07-10,30,1224410,0.82,3.3
P0077,north,science,elementary,2025-11-24,31,1375220,0.57,4.4
P0078,west,coding,middle,2025-08-23,15,976965,0.81,3.6
P0079,west,math,middle,2025-08-28,34,2708378,0.62,4.1
P0080,central,math,high,2025-09-19,24,1096797,0.87,3.8
P0081,south,reading,elementary,2025-08-21,21,945817,0.74,4.0
P0082,west,science,high,2025-11-04,42,3412533,0.92,3.7
P0083,west,math,middle,2025-06-07,25,1650729,0.67,3.5
P0084,east,coding,elementary,2025-05-07,21,1232914,0.66,4.0
P0085,west,math,middle,2025-12-08,45,2420724,0.74,3.3
P0086,south,math,high,2025-10-15,28,1955605,0.78,4.9
P0087,west,math,high,2025-03-19,30,2009717,0.68,4.2
P0088,south,reading,high,2025-10-17,27,1170259,0.89,4.2
P0089,south,art,middle,2025-08-03,33,1807203,0.78,4.2
P0090,central,art,high,2025-03-15,40,2691233,0.76,4.0
P0091,west,art,elementary,2025-08-25,30,1051470,1.0,3.2
P0092,east,science,high,2025-09-10,33,2801781,0.95,3.6
P0093,east,coding,middle,2025-11-27,32,1749712,0.93,4.0
P0094,south,art,elementary,2025-02-05,16,604025,0.73,4.3
P0095,east,coding,middle,2025-11-04,37,1745418,0.84,4.0
P0096,west,reading,high,2025-01-04,30,2488458,0.79,4.2
P0097,east,reading,elementary,2025-06-21,19,1190158,0.75,3.4
P0098,central,math,high,2025-06-07,20,792466,0.83,3.8
P0099,west,coding,middle,2025-09-02,46,1718414,0.65,4.2
P0100,central,science,elementary,2025-05-09,30,1464545,0.65,4.0
P0101,central,art,high,2025-11-16,26,1349301,0.87,4.2
P0102,north,math,high,2025-11-06,30,1110240,0.76,3.8
P0103,east,reading,high,2025-07-08,34,1718024,0.87,3.5
P0104,south,reading,middle,2025-10-25,16,1004570,0.95,4.1
P0105,north,coding,elementary,2025-07-28,15,884502,0.81,3.7
P0106,east,coding,middle,2025-02-02,18,1076716,0.69,4.1
P0107,west,reading,high,2025-12-07,21,827799,0.6,4.1
P0108,central,math,middle,2025-01-05,20,1173450,0.77,3.1
P0109,west,reading,high,2025-03-27,19,1487580,0.65,3.3
P0110,east,art,high,2025-02-13,28,1709420,0.8,3.7
P0111,west,coding,elementary,2025-03-15,37,2574701,0.8,3.9
P0112,north,reading,high,2025-06-08,35,2516096,0.59,3.8
P0113,north,art,elementary,2025-09-14,28,2359097,0.71,4.4
P0114,central,art,elementary,2025-08-12,20,908798,0.91,3.8
P0115,central,science,high,2025-03-14,35,1493645,0.91,3.3
P0116,west,coding,elementary,2025-04-20,28,1024346,0.85,4.7
P0117,west,art,elementary,2025-09-17,27,1459353,0.85,4.1
P0118,west,math,elementary,2025-07-03,33,2457544,0.85,3.3
P0119,south,math,middle,2025-03-03,33,2769386,0.8,4.0
P0120,north,art,high,2025-05-08,38,2116745,1.0,3.9
P0121,north,science,high,2025-09-17,28,2113351,0.72,4.0
P0122,south,art,high,2025-07-06,30,2136634,0.71,2.7
P0123,east,science,middle,2025-07-16,41,3230251,0.77,3.9
P0124,north,art,high,2025-03-19,25,1766562,0.91,4.1
P0125,south,coding,middle,2025-08-22,24,1131587,0.79,4.0
